Metric Label,Montreal,Boston,Players
"ES Expected Goals For",3.143328405491874,3.5786550027110184,""
"ES Actual to Expected Goals For",0.5295996209894862,0.5023761378238244,""
"ES Expected Goals Against",3.5786550027110184,3.143328405491874,""
"ES Actual to Expected Goals Against",0.5023761378238244,0.5295996209894862,""
"PP Expected Goals For",5.37652463762415,4.438213968923012,""
"PP Actual to Expected Goals For",-1.920082212993808,-0.5964382147966668,""
"SH Expected Goals Against",4.438213968923012,5.37652463762415,""
"SH Actual to Expected Goals Against",-0.5964382147966668,-1.920082212993808,""
"ES Shot Attempts For",62.847879564236614,59.17495153775522,""
"ES Shot Attempts Against",59.17495153775522,62.847879564236614,""
"ES% Shot Attempts On Net",0.5064935064935064,0.5172413793103449,""
"ES Screened Shots On Net",4.0810311405348445,2.85672179837439,""
"ES% of Shots On Net That Are Screened",0.1282051282051282,0.09333333333333334,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3125,0.2222222222222222,""
"ES Goals Scored",4.0810311405348445,4.489134254588327,""
"ES Shot Attempts From Slot For",26.526702413476492,27.34290864158345,""
"ES Passes to the Slot For",15.916021448085894,15.507918334032404,""
"ES Shot Attempts From Slot Off the Cycle",10.610680965390596,9.386371623230138,""
"ES Shot Attempts From Slot Off the Rush",6.937752938909236,9.794474737283624,""
"ES Odd Man Rushes",6.529649824855749,6.937752938909236,""
"ES Shot Attempts From Slot Off the Forecheck",2.8567217983743913,4.489134254588327,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0,3.6729280264813586,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.25,0.2222222222222222,""
"ES Shot Attempts From Slot Against",27.34290864158345,26.526702413476492,""
"ES Shots On Net From Slot Against",16.32412456213937,15.099815219978925,""
"ES% of Opposition Shot Attempts Blocked",0.2827586206896552,0.2597402597402597,""
"ES Shot Attempts From Slot Off the Cycle Against",9.386371623230138,10.610680965390596,""
"ES Shot Attempts From Slot Off the Rush Against",9.794474737283624,6.937752938909236,""
"ES Shot Attempts From Slot Off the Forecheck Against",4.489134254588327,2.8567217983743913,""
"ES Odd Man Rushes Against",6.937752938909236,6.529649824855749,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2222222222222222,0.3125,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.2222222222222222,0.25,""
"ES OZ Possession Time",367.14316483965007,308.24028204459853,""
"ES OZ Face-Offs Win%",0.5818181818181818,0.675,""
"ES OZ Dump-In Recoveries",15.099815219978925,18.364640132406794,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.46875,0.6727272727272727,""
"ES Controlled Entry Success%",0.5353535353535354,0.5104166666666666,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.23595505617977527,0.2072072072072072,""
"ES OZ Shot Attempts Recovered",15.099815219978925,11.834990307551045,""
"ES OZ Contested Loose Puck Recovery Win%",0.18620689655172415,0.24324324324324326,""
"ES Opposition OZ Possession Time",308.24028204459853,367.14316483965007,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5806451612903226,0.7555555555555555,""
"ES Team Entry Denial Success%",0.4897959183673469,0.46464646464646464,""
"ES DZ Contested Loose Puck Recovery Win%",0.3076923076923077,0.36496350364963503,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.46348314606741575,0.3813813813813814,""
"ES Breakout Success% (Reaches NZ)",0.6298342541436464,0.6,""
"ES Zone Exit Success% (Reaches NZ)",0.7927927927927928,0.7640449438202247,""
"ES Successful Stretch Passes",12.651196535658018,15.507918334032404,""
"Goalie ES Save%",0.8648648648648649,0.8831168831168831,""
"Goalie ES Inner Slot Save%",0.7619047619047619,0.7058823529411765,""
"Goalie ES No Rebound%",0.359375,0.4411764705882353,""
"Goalie SH Save%",0.9,0.8571428571428571,""
"Goalie SH Inner Slot Save%",1,0.5,""
"PP Controlled Entry Success%",0.42105263157894735,0.4230769230769231,""
"PP% OZ Zone Time",0.6420661844716122,0.6639157655093921,""
"PP Passes to Slot",1.267362222364459,1.6647694934547494,""
"PP Shots On Net From Slot For",0.5760737374383904,1.024473534433692,""
"PP Goals Scored",0.11521474748767808,0.1280591918042115,""
"PP True Shooting % (Goals/Shot Attempts)",0.058823529411764705,0.037037037037037035,""
"PP OZ Face-Offs Win%",0.75,0.5,""
"PP% Face-Offs Won Resulting in Shot On Net",0.08333333333333333,0.42857142857142855,""
"SH Shot Attempts From Slot Against",1.792828685258961,0.6912884849260685,""
"SH Inner Slot Shots On Net Against",0.3841775754126345,0.23042949497535617,""
"SH Goals Against",0.1280591918042115,0.11521474748767808,""
"SH Passes to the Slot Against",1.6647694934547494,1.267362222364459,""
"SH% of Opposition Shot Attempts Blocked",0.37037037037037035,0.35294117647058826,""
"SH DZ Entry Denial Success%",0.5769230769230769,0.5789473684210527,""
"SH% DZ Zone Time",0.6639157655093918,0.6420661844716129,""
"SH DZ Face-Offs Win%",0.5,0.25,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.2857142857142857,0.75,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
