Metric Label,Montreal,Anaheim,Players
"ES Expected Goals For",2.7891114322110098,1.9300138811474736,""
"ES Actual to Expected Goals For",-2.1815233319364697,0.5003385199506868,""
"ES Expected Goals Against",1.9300138811474736,2.7891114322110098,""
"ES Actual to Expected Goals Against",0.5003385199506868,-2.1815233319364697,""
"PP Expected Goals For",7.313405090807539,9.217998264315256,""
"PP Actual to Expected Goals For",4.441057251377889,-3.7826686216378578,""
"SH Expected Goals Against",9.217998264315256,7.313405090807539,""
"SH Actual to Expected Goals Against",-3.7826686216378578,4.441057251377889,""
"ES Shot Attempts For",47.999459921688654,54.68292902470861,""
"ES Shot Attempts Against",54.68292902470861,47.999459921688654,""
"ES% Shot Attempts On Net",0.5063291139240507,0.4,""
"ES Screened Shots On Net",4.860704802196319,4.253116701921781,""
"ES% of Shots On Net That Are Screened",0.2,0.19444444444444445,""
"ES% Face-Offs Won Resulting in Shot On Net",0.4,0.2222222222222222,""
"ES Goals Scored",0.6075881002745399,2.4303524010981605,""
"ES Shot Attempts From Slot For",19.442819208785277,21.265583509608906,""
"ES Passes to the Slot For",18.2276430082362,12.151762005490802,""
"ES Shot Attempts From Slot Off the Cycle",8.50623340384356,7.291057203294481,""
"ES Shot Attempts From Slot Off the Rush",7.291057203294479,5.4682929024708615,""
"ES Odd Man Rushes",5.4682929024708615,2.4303524010981596,""
"ES Shot Attempts From Slot Off the Forecheck",0.6075881002745399,3.0379405013727006,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0,0.6075881002745401,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.2,0.1111111111111111,""
"ES Shot Attempts From Slot Against",21.265583509608906,19.442819208785277,""
"ES Shots On Net From Slot Against",9.721409604392642,10.328997704667179,""
"ES% of Opposition Shot Attempts Blocked",0.37777777777777777,0.26582278481012656,""
"ES Shot Attempts From Slot Off the Cycle Against",7.291057203294481,8.50623340384356,""
"ES Shot Attempts From Slot Off the Rush Against",5.4682929024708615,7.291057203294479,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.0379405013727006,0.6075881002745399,""
"ES Odd Man Rushes Against",2.4303524010981596,5.4682929024708615,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2222222222222222,0.4,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.1111111111111111,0.2,""
"ES OZ Possession Time",384.2387146136196,370.22368243395226,""
"ES OZ Face-Offs Win%",0.4166666666666667,0.32142857142857145,""
"ES OZ Dump-In Recoveries",13.366938206039878,17.620054907961663,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.46511627906976744,0.5483870967741935,""
"ES Controlled Entry Success%",0.5714285714285714,0.6140350877192983,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.14705882352941177,0.2577777777777778,""
"ES OZ Shot Attempts Recovered",12.151762005490799,15.797290607138043,""
"ES OZ Contested Loose Puck Recovery Win%",0.20588235294117646,0.2857142857142857,""
"ES Opposition OZ Possession Time",370.22368243395226,384.2387146136196,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6363636363636364,0.7419354838709677,""
"ES Team Entry Denial Success%",0.38596491228070173,0.42857142857142855,""
"ES DZ Contested Loose Puck Recovery Win%",0.34375,0.34375,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.37745098039215685,0.4577777777777778,""
"ES Breakout Success% (Reaches NZ)",0.6030534351145038,0.7310924369747899,""
"ES Zone Exit Success% (Reaches NZ)",0.7422222222222222,0.8529411764705882,""
"ES Successful Stretch Passes",13.366938206039878,13.974526306314424,""
"Goalie ES Save%",0.8888888888888888,0.975,""
"Goalie ES Inner Slot Save%",0.7142857142857143,1,""
"Goalie ES No Rebound%",0.375,0.38461538461538464,""
"Goalie SH Save%",0.875,0.7142857142857143,""
"Goalie SH Inner Slot Save%",0.75,0.6666666666666666,""
"PP Controlled Entry Success%",0.6428571428571429,0.6,""
"PP% OZ Zone Time",0.4900957771005675,0.6262707599396068,""
"PP Passes to Slot",0.3918154114061809,0.9058882737795665,""
"PP Shots On Net From Slot For",0.7836308228123618,0.9058882737795665,""
"PP Goals Scored",0.3918154114061809,0.1811776547559133,""
"PP True Shooting % (Goals/Shot Attempts)",0.18181818181818182,0.06666666666666667,""
"PP OZ Face-Offs Win%",0.625,0.5555555555555556,""
"PP% Face-Offs Won Resulting in Shot On Net",0.2,0.4,""
"SH Shot Attempts From Slot Against",1.6305988928032196,0.9795385285154523,""
"SH Inner Slot Shots On Net Against",0.7247106190236532,0.5877231171092714,""
"SH Goals Against",0.1811776547559133,0.3918154114061809,""
"SH Passes to the Slot Against",0.9058882737795665,0.3918154114061809,""
"SH% of Opposition Shot Attempts Blocked",0.2,0.18181818181818182,""
"SH DZ Entry Denial Success%",0.4,0.35714285714285715,""
"SH% DZ Zone Time",0.6262707599396068,0.49009577710056706,""
"SH DZ Face-Offs Win%",0.4444444444444444,0.375,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.5,0.6666666666666666,""
"Shootout Goals",2,0,""
"Shootout Success %",1,0,""
