Metric Label,Montreal,Columbus,Players
"ES Expected Goals For",2.71685821118252,2.287554989019754,""
"ES Actual to Expected Goals For",1.173519587728174,0.8247472501088022,""
"ES Expected Goals Against",2.287554989019754,2.71685821118252,""
"ES Actual to Expected Goals Against",0.8247472501088022,1.173519587728174,""
"PP Expected Goals For",5.897118450754759,4.1514190511672435,""
"PP Actual to Expected Goals For",5.2489675185935125,-0.15304801714406643,""
"SH Expected Goals Against",4.1514190511672435,5.897118450754759,""
"SH Actual to Expected Goals Against",-0.15304801714406643,5.2489675185935125,""
"ES Shot Attempts For",55.63240252442292,50.574911385839044,""
"ES Shot Attempts Against",50.574911385839044,55.63240252442292,""
"ES% Shot Attempts On Net",0.5174825174825175,0.5384615384615384,""
"ES Screened Shots On Net",3.890377798910694,4.279415578801765,""
"ES% of Shots On Net That Are Screened",0.13513513513513514,0.15714285714285714,""
"ES% Face-Offs Won Resulting in Shot On Net",0.15384615384615385,0.11538461538461539,""
"ES Goals Scored",3.890377798910694,3.112302239128556,""
"ES Shot Attempts From Slot For",22.564191233682024,20.619002334226685,""
"ES Passes to the Slot For",15.172473415751705,8.55883115760353,""
"ES Shot Attempts From Slot Off the Cycle",8.169793377712457,6.224604478257112,""
"ES Shot Attempts From Slot Off the Rush",6.22460447825711,8.16979337771246,""
"ES Odd Man Rushes",6.224604478257112,5.4465289184749714,""
"ES Shot Attempts From Slot Off the Forecheck",1.167113339673208,1.556151119564278,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.167113339673208,2.3342266793464175,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.15384615384615385,0.11538461538461539,""
"ES Shot Attempts From Slot Against",20.619002334226685,22.564191233682024,""
"ES Shots On Net From Slot Against",11.282095616841017,13.22728451629636,""
"ES% of Opposition Shot Attempts Blocked",0.27692307692307694,0.25874125874125875,""
"ES Shot Attempts From Slot Off the Cycle Against",6.224604478257112,8.169793377712457,""
"ES Shot Attempts From Slot Off the Rush Against",8.16979337771246,6.22460447825711,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.556151119564278,1.167113339673208,""
"ES Odd Man Rushes Against",5.4465289184749714,6.224604478257112,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.11538461538461539,0.15384615384615385,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.11538461538461539,0.15384615384615385,""
"ES OZ Possession Time",442.8028010720148,301.2578888216501,""
"ES OZ Face-Offs Win%",0.49056603773584906,0.48148148148148145,""
"ES OZ Dump-In Recoveries",16.339586755424914,11.671133396732086,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6153846153846154,0.7450980392156863,""
"ES Controlled Entry Success%",0.5495495495495496,0.5360824742268041,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.2175141242937853,0.17941176470588235,""
"ES OZ Shot Attempts Recovered",11.671133396732081,10.504020057058877,""
"ES OZ Contested Loose Puck Recovery Win%",0.2222222222222222,0.19642857142857142,""
"ES Opposition OZ Possession Time",301.2578888216501,442.8028010720148,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.4482758620689655,0.625,""
"ES Team Entry Denial Success%",0.46938775510204084,0.45045045045045046,""
"ES DZ Contested Loose Puck Recovery Win%",0.3252032520325203,0.2647058823529412,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4293785310734463,0.3735294117647059,""
"ES Breakout Success% (Reaches NZ)",0.6709677419354839,0.6256983240223464,""
"ES Zone Exit Success% (Reaches NZ)",0.8205882352941176,0.7824858757062146,""
"ES Successful Stretch Passes",12.83824673640529,11.671133396732086,""
"Goalie ES Save%",0.8857142857142857,0.8648648648648649,""
"Goalie ES Inner Slot Save%",0.7142857142857143,0.6666666666666666,""
"Goalie ES No Rebound%",0.3548387096774194,0.375,""
"Goalie SH Save%",0.8571428571428571,0.75,""
"Goalie SH Inner Slot Save%",0.6666666666666666,0,""
"PP Controlled Entry Success%",0.6923076923076923,0.45454545454545453,""
"PP% OZ Zone Time",0.6830589813715877,0.635629928547628,""
"PP Passes to Slot",1.1146085969348272,0.6663951723371963,""
"PP Shots On Net From Slot For",0.18576809948913786,0.3998371034023177,""
"PP Goals Scored",0.3715361989782757,0.13327903446743924,""
"PP True Shooting % (Goals/Shot Attempts)",0.11764705882352941,0.041666666666666664,""
"PP OZ Face-Offs Win%",0.4,0.6,""
"PP% Face-Offs Won Resulting in Shot On Net",0.5,0.3333333333333333,""
"SH Shot Attempts From Slot Against",1.1995113102069532,0.7430723979565514,""
"SH Inner Slot Shots On Net Against",0.3998371034023177,0,""
"SH Goals Against",0.13327903446743924,0.3715361989782757,""
"SH Passes to the Slot Against",0.6663951723371963,1.1146085969348272,""
"SH% of Opposition Shot Attempts Blocked",0.5,0.35294117647058826,""
"SH DZ Entry Denial Success%",0.5454545454545454,0.3076923076923077,""
"SH% DZ Zone Time",0.6356299285476287,0.6830589813715883,""
"SH DZ Face-Offs Win%",0.4,0.6,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0,1,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
