Metric Label,Montreal,Washington,Players
"ES Expected Goals For",2.4803530640806906,3.1731492413202456,""
"ES Actual to Expected Goals For",-0.3432457575482653,0.6736439104381197,""
"ES Expected Goals Against",3.1731492413202456,2.4803530640806906,""
"ES Actual to Expected Goals Against",0.6736439104381197,-0.3432457575482653,""
"PP Expected Goals For",6.568962103688019,6.020817913938774,""
"PP Actual to Expected Goals For",-3.5241354896479833,3.017091093285983,""
"SH Expected Goals Against",6.020817913938774,6.568962103688019,""
"SH Actual to Expected Goals Against",3.017091093285983,-3.5241354896479833,""
"ES Shot Attempts For",49.15346805024577,67.53259088642463,""
"ES Shot Attempts Against",67.53259088642463,49.15346805024577,""
"ES% Shot Attempts On Net",0.4608695652173913,0.5063291139240507,""
"ES Screened Shots On Net",6.83874338090376,5.12905753567782,""
"ES% of Shots On Net That Are Screened",0.3018867924528302,0.15,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3181818181818182,0.29411764705882354,""
"ES Goals Scored",2.137107306532425,3.846793151758365,""
"ES Shot Attempts From Slot For",19.233965758791825,24.790444755776132,""
"ES Passes to the Slot For",11.11295799396861,17.95170137487237,""
"ES Shot Attempts From Slot Off the Cycle",5.556478996984305,9.830693610049154,""
"ES Shot Attempts From Slot Off the Rush",8.5484292261297,4.27421461306485,""
"ES Odd Man Rushes",8.5484292261297,5.556478996984305,""
"ES Shot Attempts From Slot Off the Forecheck",2.56452876783891,3.41937169045188,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0,4.27421461306485,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.13636363636363635,0.17647058823529413,""
"ES Shot Attempts From Slot Against",24.790444755776132,19.233965758791825,""
"ES Shots On Net From Slot Against",14.53232968442049,10.685536532662125,""
"ES% of Opposition Shot Attempts Blocked",0.25316455696202533,0.33043478260869563,""
"ES Shot Attempts From Slot Off the Cycle Against",9.830693610049154,5.556478996984305,""
"ES Shot Attempts From Slot Off the Rush Against",4.27421461306485,8.5484292261297,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.41937169045188,2.56452876783891,""
"ES Odd Man Rushes Against",5.556478996984305,8.5484292261297,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.29411764705882354,0.3181818181818182,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.17647058823529413,0.13636363636363635,""
"ES OZ Possession Time",312.95799396860735,366.3144397217033,""
"ES OZ Face-Offs Win%",0.6470588235294118,0.425,""
"ES OZ Dump-In Recoveries",16.24201552964643,19.233965758791825,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5813953488372093,0.5909090909090909,""
"ES Controlled Entry Success%",0.46296296296296297,0.5342465753424658,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.18670886075949367,0.22149837133550487,""
"ES OZ Shot Attempts Recovered",12.395222377888064,17.95170137487237,""
"ES OZ Contested Loose Puck Recovery Win%",0.2125984251968504,0.16176470588235295,""
"ES Opposition OZ Possession Time",366.3144397217033,312.95799396860735,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5869565217391305,0.6666666666666666,""
"ES Team Entry Denial Success%",0.47368421052631576,0.5327102803738317,""
"ES DZ Contested Loose Puck Recovery Win%",0.474025974025974,0.3135593220338983,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3987341772151899,0.39087947882736157,""
"ES Breakout Success% (Reaches NZ)",0.5819209039548022,0.6764705882352942,""
"ES Zone Exit Success% (Reaches NZ)",0.7785016286644951,0.8132911392405063,""
"ES Successful Stretch Passes",12.82264383919455,12.395222377888064,""
"Goalie ES Save%",0.8875,0.9056603773584906,""
"Goalie ES Inner Slot Save%",0.8,0.7142857142857143,""
"Goalie ES No Rebound%",0.30985915492957744,0.375,""
"Goalie SH Save%",0.8,0.9375,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.8214285714285714,0.6785714285714286,""
"PP% OZ Zone Time",0.7238511418099804,0.6733521158191296,""
"PP Passes to Slot",1.7254017479560204,1.4058969566794066,""
"PP Shots On Net From Slot For",0.8119537637440096,0.9037909007224757,""
"PP Goals Scored",0.1014942204680012,0.30126363357415853,""
"PP True Shooting % (Goals/Shot Attempts)",0.025,0.08108108108108109,""
"PP OZ Face-Offs Win%",0.6111111111111112,0.4666666666666667,""
"PP% Face-Offs Won Resulting in Shot On Net",0.2727272727272727,0.14285714285714285,""
"SH Shot Attempts From Slot Against",1.9080030126363374,2.029884409360024,""
"SH Inner Slot Shots On Net Against",0.20084242238277236,0.1014942204680012,""
"SH Goals Against",0.30126363357415853,0.1014942204680012,""
"SH Passes to the Slot Against",1.4058969566794066,1.7254017479560204,""
"SH% of Opposition Shot Attempts Blocked",0.35135135135135137,0.25,""
"SH DZ Entry Denial Success%",0.32142857142857145,0.17857142857142858,""
"SH% DZ Zone Time",0.6712994000169001,0.7207028563568848,""
"SH DZ Face-Offs Win%",0.5333333333333333,0.3888888888888889,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.875,0.7142857142857143,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
