Metric Label,Montreal,Chicago,Players
"ES Expected Goals For",2.866930511923123,3.12305955054485,""
"ES Actual to Expected Goals For",-1.0564903067398985,-0.7091392769672193,""
"ES Expected Goals Against",3.12305955054485,2.866930511923123,""
"ES Actual to Expected Goals Against",-0.7091392769672193,-1.0564903067398985,""
"PP Expected Goals For",7.6578329065092845,11.046541666998051,""
"PP Actual to Expected Goals For",2.558314281685415,9.338509295629342,""
"SH Expected Goals Against",11.046541666998051,7.6578329065092845,""
"SH Actual to Expected Goals Against",9.338509295629342,2.558314281685415,""
"ES Shot Attempts For",66.9862875917793,53.10624601870788,""
"ES Shot Attempts Against",53.10624601870788,66.9862875917793,""
"ES% Shot Attempts On Net",0.5045045045045045,0.4090909090909091,""
"ES Screened Shots On Net",6.63828075233849,1.2069601367888154,""
"ES% of Shots On Net That Are Screened",0.19642857142857142,0.05555555555555555,""
"ES% Face-Offs Won Resulting in Shot On Net",0.25,0.14285714285714285,""
"ES Goals Scored",1.8104402051832245,2.413920273577631,""
"ES Shot Attempts From Slot For",23.53572266738192,27.760083146142755,""
"ES Passes to the Slot For",14.483521641465796,16.897441915043416,""
"ES Shot Attempts From Slot Off the Cycle",8.448720957521715,9.052201025916116,""
"ES Shot Attempts From Slot Off the Rush",6.0348006839440815,9.655681094310523,""
"ES Odd Man Rushes",6.638280752338485,6.63828075233849,""
"ES Shot Attempts From Slot Off the Forecheck",2.4139202735776326,3.6208804103664463,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.8104402051832245,2.413920273577631,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.125,0.14285714285714285,""
"ES Shot Attempts From Slot Against",27.760083146142755,23.53572266738192,""
"ES Shots On Net From Slot Against",11.466121299493746,11.466121299493755,""
"ES% of Opposition Shot Attempts Blocked",0.29545454545454547,0.21621621621621623,""
"ES Shot Attempts From Slot Off the Cycle Against",9.052201025916116,8.448720957521715,""
"ES Shot Attempts From Slot Off the Rush Against",9.655681094310523,6.0348006839440815,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.6208804103664463,2.4139202735776326,""
"ES Odd Man Rushes Against",6.63828075233849,6.638280752338485,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.14285714285714285,0.25,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.14285714285714285,0.125,""
"ES OZ Possession Time",443.0549502128956,369.89304992121146,""
"ES OZ Face-Offs Win%",0.64,0.3888888888888889,""
"ES OZ Dump-In Recoveries",12.67308143628257,15.6904817782546,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5555555555555556,0.75,""
"ES Controlled Entry Success%",0.5657894736842105,0.6493506493506493,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.23931623931623933,0.1493212669683258,""
"ES OZ Shot Attempts Recovered",17.500921983437838,17.500921983437824,""
"ES OZ Contested Loose Puck Recovery Win%",0.10526315789473684,0.3380281690140845,""
"ES Opposition OZ Possession Time",369.89304992121146,443.0549502128956,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.4375,0.6451612903225806,""
"ES Team Entry Denial Success%",0.358974358974359,0.42857142857142855,""
"ES DZ Contested Loose Puck Recovery Win%",0.1891891891891892,0.3472222222222222,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4230769230769231,0.38461538461538464,""
"ES Breakout Success% (Reaches NZ)",0.7377049180327869,0.5892857142857143,""
"ES Zone Exit Success% (Reaches NZ)",0.8506787330316742,0.7606837606837606,""
"ES Successful Stretch Passes",15.087001709860205,14.483521641465785,""
"Goalie ES Save%",0.8888888888888888,0.9464285714285714,""
"Goalie ES Inner Slot Save%",0.6363636363636364,0.6666666666666666,""
"Goalie ES No Rebound%",0.28125,0.2641509433962264,""
"Goalie SH Save%",0.7,0.8,""
"Goalie SH Inner Slot Save%",0.75,1,""
"PP Controlled Entry Success%",0.7142857142857143,1,""
"PP% OZ Zone Time",0.6553942203093231,0.7380143450358622,""
"PP Passes to Slot",1.36215295842596,2.265005662514154,""
"PP Shots On Net From Slot For",0.851345599016225,1.585503963759908,""
"PP Goals Scored",0.34053823960649,0.6795016987542463,""
"PP True Shooting % (Goals/Shot Attempts)",0.1,0.14285714285714285,""
"PP OZ Face-Offs Win%",0.5,0.875,""
"PP% Face-Offs Won Resulting in Shot On Net",1,0.14285714285714285,""
"SH Shot Attempts From Slot Against",3.171007927519816,1.8729603178356948,""
"SH Inner Slot Shots On Net Against",0.9060022650056617,0.34053823960649,""
"SH Goals Against",0.6795016987542463,0.34053823960649,""
"SH Passes to the Slot Against",2.265005662514154,1.36215295842596,""
"SH% of Opposition Shot Attempts Blocked",0.23809523809523808,0.45,""
"SH DZ Entry Denial Success%",0,0.2857142857142857,""
"SH% DZ Zone Time",0.7294839145574552,0.6553942203093233,""
"SH DZ Face-Offs Win%",0.125,0.5,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0,0.6666666666666666,""
"Shootout Goals",0,1,""
"Shootout Success %",0,0.5,""
