Metric Label,Montreal,St. Louis,Players
"ES Expected Goals For",2.244149842061887,3.082949023858189,""
"ES Actual to Expected Goals For",0.12251956380547993,1.0587224364097014,""
"ES Expected Goals Against",3.082949023858189,2.244149842061887,""
"ES Actual to Expected Goals Against",1.0587224364097014,0.12251956380547993,""
"PP Expected Goals For",6.843018826575613,13.229272249250982,""
"PP Actual to Expected Goals For",0.5572826671889505,-7.505901819998202,""
"SH Expected Goals Against",13.229272249250982,6.843018826575613,""
"SH Actual to Expected Goals Against",-7.505901819998202,0.5572826671889505,""
"ES Shot Attempts For",56.208398389349966,53.84172898348257,""
"ES Shot Attempts Against",53.84172898348257,56.208398389349966,""
"ES% Shot Attempts On Net",0.42105263157894735,0.5714285714285714,""
"ES Screened Shots On Net",2.366669405867367,5.325006163201573,""
"ES% of Shots On Net That Are Screened",0.1,0.17307692307692307,""
"ES% Face-Offs Won Resulting in Shot On Net",0.1111111111111111,0.15384615384615385,""
"ES Goals Scored",2.9583367573342088,4.14167146026789,""
"ES Shot Attempts From Slot For",21.300024652806304,21.891692004273132,""
"ES Passes to the Slot For",11.241679677869994,8.28334292053578,""
"ES Shot Attempts From Slot Off the Cycle",6.508340866135259,8.28334292053578,""
"ES Shot Attempts From Slot Off the Rush",6.508340866135259,7.691675569068939,""
"ES Odd Man Rushes",5.916673514668415,5.9166735146684175,""
"ES Shot Attempts From Slot Off the Forecheck",1.7750020544005254,2.366669405867366,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0.5916673514668418,2.366669405867366,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.1111111111111111,0.23076923076923078,""
"ES Shot Attempts From Slot Against",21.891692004273132,21.300024652806304,""
"ES Shots On Net From Slot Against",14.200016435204194,10.650012326403152,""
"ES% of Opposition Shot Attempts Blocked",0.25274725274725274,0.29473684210526313,""
"ES Shot Attempts From Slot Off the Cycle Against",8.28334292053578,6.508340866135259,""
"ES Shot Attempts From Slot Off the Rush Against",7.691675569068939,6.508340866135259,""
"ES Shot Attempts From Slot Off the Forecheck Against",2.366669405867366,1.7750020544005254,""
"ES Odd Man Rushes Against",5.9166735146684175,5.916673514668415,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.15384615384615385,0.1111111111111111,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.23076923076923078,0.1111111111111111,""
"ES OZ Possession Time",332.87205193524386,377.9571041170197,""
"ES OZ Face-Offs Win%",0.36,0.48148148148148145,""
"ES OZ Dump-In Recoveries",13.016681732270518,14.200016435204194,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6363636363636364,0.37142857142857144,""
"ES Controlled Entry Success%",0.5915492957746479,0.5263157894736842,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.17117117117117117,0.19166666666666668,""
"ES OZ Shot Attempts Recovered",20.11668994987262,10.058344974936304,""
"ES OZ Contested Loose Puck Recovery Win%",0.3389830508474576,0.23076923076923078,""
"ES Opposition OZ Possession Time",377.9571041170197,332.87205193524386,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.7586206896551724,0.5333333333333333,""
"ES Team Entry Denial Success%",0.4805194805194805,0.4166666666666667,""
"ES DZ Contested Loose Puck Recovery Win%",0.38095238095238093,0.24489795918367346,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3783783783783784,0.42083333333333334,""
"ES Breakout Success% (Reaches NZ)",0.648,0.6754385964912281,""
"ES Zone Exit Success% (Reaches NZ)",0.8083333333333333,0.8288288288288288,""
"ES Successful Stretch Passes",15.383351138137886,17.750020544005242,""
"Goalie ES Save%",0.8653846153846154,0.8974358974358975,""
"Goalie ES Inner Slot Save%",0.6923076923076923,0.9,""
"Goalie ES No Rebound%",0.3333333333333333,0.37142857142857144,""
"Goalie SH Save%",0.9285714285714286,0.8333333333333334,""
"Goalie SH Inner Slot Save%",0.8333333333333334,0.5,""
"PP Controlled Entry Success%",0.6666666666666666,0.4666666666666667,""
"PP% OZ Zone Time",0.7635329587501717,0.6378378378378364,""
"PP Passes to Slot",1.480060298752913,1.3354531001589818,""
"PP Shots On Net From Slot For",0.7400301493764565,2.098569157392686,""
"PP Goals Scored",0.2466767164588188,0.19077901430842598,""
"PP True Shooting % (Goals/Shot Attempts)",0.06666666666666667,0.04,""
"PP OZ Face-Offs Win%",0.6363636363636364,0.7272727272727273,""
"PP% Face-Offs Won Resulting in Shot On Net",0.5714285714285714,0.5,""
"SH Shot Attempts From Slot Against",3.0524642289348156,1.480060298752913,""
"SH Inner Slot Shots On Net Against",1.144674085850556,0.4933534329176376,""
"SH Goals Against",0.19077901430842598,0.2466767164588188,""
"SH Passes to the Slot Against",1.3354531001589818,1.480060298752913,""
"SH% of Opposition Shot Attempts Blocked",0.32,0.13333333333333333,""
"SH DZ Entry Denial Success%",0.5333333333333333,0.3333333333333333,""
"SH% DZ Zone Time",0.6378378378378368,0.7635329587501722,""
"SH DZ Face-Offs Win%",0.2727272727272727,0.36363636363636365,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",1,0.75,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
