Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES OZ F/O Wins,ES OZ F/O Win %,ES DZ F/O Wins,ES DZ F/O Win %,ES ISF (P20 WOI),ES ISA (P20 WOI),ES ISF% (WOI),ES OZSTART %,ES XGFP20 (WOI),ES XGAP20 (WOI),XGF %,ES CORSIFOR%
"Mikael Granlund","F","Anaheim",0.1476854375422268,0.011542483958407906,24.908478240186064,-2.9826002686777926,0.19477120573285914,8,0.5714285714285714,8,0.5333333333333333,1.7515071365069816,2.468032783259838,0.41509433962264153,0.38492063492063494,0.7547970038200627,0.8400965872879241,0.4732585346309521,0.4626865671641791
"Viktor Arvidsson","F","Boston",0.2506043546308938,0.007848303662385404,23.61811924504428,2.064942658682386,0.3744337845324048,0,0,1,1,1.6799422789063148,2.326073924639513,0.41935483870967744,0.26,0.6136631563662203,0.719088433782916,0.46044826425421914,0.5069444444444444
"Andrei Svechnikov","F","Carolina",0.2051605613632192,0.19728766534928177,21.701725930383684,9.802861462330906,0.291889905310712,1,0.5,0,0,2.2134652469187555,2.515301416953131,0.46808510638297873,0.4222222222222222,0.7923468258991646,0.8605021427457268,0.4793824728878767,0.5924276169265034
"Eric Robinson","F","Carolina",0.21747354022359888,-0.08739740955489922,20.87234482574883,5.215106741364663,0.26569218035951736,0,0,1,0.5,1.6909896986930957,1.951141960030495,0.4642857142857143,0.3825503355704698,0.8317305320890861,0.7136916850131428,0.5381898376280865,0.590625
"Jack Roslovic","F","Carolina",0.16628691711501958,-0.16628691711501958,20.281536085026104,6.667096746794933,0.27122868769947367,22,0.5365853658536586,10,0.4166666666666667,1.4742014742014764,2.2113022113022143,0.4,0.44,0.8537800591838037,0.8960746186648118,0.48791483658145607,0.5397489539748954
"Jackson Blake","F","Carolina",0.1891235597026814,-0.07888719456309466,22.628618499926688,6.729219658042453,0.2789820894566352,0,0,2,1,1.9842545725125613,2.866145493629255,0.4090909090909091,0.4161490683229814,0.8498528758107626,0.8498288384150658,0.5000070711461727,0.5581395348837209
"Jesperi Kotkaniemi","F","Carolina",0.21023606849872398,-0.21023606849872398,20.961067934167424,5.332318718029574,0.24067368910877585,21,0.44680851063829785,14,0.4827586206896552,2.3197869232751938,1.0310164103445305,0.6923076923076923,0.4117647058823529,0.9291696457958222,0.4868839689484339,0.6561684078350616,0.6122448979591837
"Jordan Martinook","F","Carolina",0.07566515928203671,-0.07566515928203671,22.3921593041387,0.5470510039360028,0.20569392353361066,1,0.25,2,0.6666666666666666,1.5721759788979035,2.305858102383592,0.40540540540540543,0.2850877192982456,0.5944538916563099,0.6997384679184872,0.45932421657288713,0.5695538057742782
"Jordan Staal","F","Carolina",0.2573288588445283,-0.1541060121878016,22.297148981980023,0.8144348431351556,0.3154021374418691,27,0.46551724137931033,45,0.5844155844155844,2.16767977979126,2.580571166418167,0.45652173913043476,0.28444444444444444,0.7129579415315054,0.7717690409412112,0.4801946418082334,0.5616797900262467
"Logan Stankoven","F","Carolina",0.24981245938470265,0.06159185875517572,21.54596342829559,3.1602463778099437,0.22919347802607298,3,0.6,0,0,1.6608230300793512,1.4532201513194323,0.5333333333333333,0.35119047619047616,0.9044041012235529,0.5926626624552355,0.6041174135755527,0.5895316804407713
"Mark Jankowski","F","Carolina",0.17773241516501417,-0.17773241516501417,20.660655756096777,5.596118583394186,0.26715790621591,11,0.6470588235294118,8,0.5,1.4216100523626378,1.4216100523626378,0.5,0.2698412698412698,0.6572810354055295,0.5736619828175873,0.5339654441148086,0.6115107913669064
"Nikolaj Ehlers","F","Carolina",0.4060951192091614,-0.004313889088962094,19.78086972241466,6.894683601557731,0.37137202523996293,0,0,0,0,2.4106873807211957,1.6071249204807971,0.6,0.49019607843137253,0.8887751217842073,0.8655542907805751,0.5066181501710343,0.5663265306122449
"Sebastian Aho","F","Carolina",0.2653913196068987,0.025474680042984716,22.902635330205467,6.668150684349651,0.2730385504926731,35,0.5303030303030303,32,0.5333333333333333,1.939106664332556,2.908659996498834,0.4,0.40625,0.8496480400978255,0.925930738771907,0.47851892025803544,0.5678160919540229
"Seth Jarvis","F","Carolina",0.21410722598727117,-0.0022328439542187144,22.77428949053875,4.462845141263646,0.24932577738947534,1,0.125,2,1,2.118743820330524,2.7543669664296817,0.43478260869565216,0.3487179487179487,0.7957971624259571,0.9314299927057923,0.4607368290045529,0.5357142857142857
"Taylor Hall","F","Carolina",0.4189523887692659,-0.2007804874920513,20.890133974221364,5.115572497640113,0.3015516108140359,0,0,0,0,2.2908049634107535,1.9635471114949314,0.5384615384615384,0.39375,1.0279975687520009,0.7229313891415565,0.5871155218020531,0.5702702702702702
"William Carrier","F","Carolina",0.21004680235318857,-0.21004680235318857,20.92477310763146,3.0516182757557457,0.2112874485774204,1,1,2,1,2.2964271085834005,2.175562523921116,0.5135135135135135,0.33519553072625696,0.8164587203015762,0.7520403415231329,0.5205350389892813,0.5942028985507246
"Dominic Toninato","F","Chicago",0.04590168163229524,-0.04590168163229524,16.041257431481004,-4.838348535402765,0.11280808493857762,0,0,1,0.3333333333333333,0,3.7913360949238233,0,0,0.20062061274709422,1.3772746723819793,0.12714444021593185,0.4
"Artturi Lehkonen","F","Colorado",0.7273441113620955,-0.15992947311519662,17.929212907513325,13.529502520685426,0.16125460654275484,0,0,0,0,5.10673174422209,1.1348292764937977,0.8181818181818182,0.47863247863247865,1.559379557432151,0.6813085424895678,0.6959378047692715,0.6094420600858369
"Brock Nelson","F","Colorado",0.3336228995039295,-0.3336228995039295,18.4952734530188,8.807953933921942,0.28377677442595867,19,0.4418604651162791,22,0.5641025641025641,2.8132179566660245,1.1252871826664097,0.7142857142857143,0.4016393442622951,1.1563039642518855,0.5850943991125603,0.6640088727417106,0.5646551724137931
