player_id,player_name,first_name,last_name,EV_shift_mean,EV_shift_std,EV_shift_count,EV_shift_median,EV_shift_p25,EV_shift_p75,PP_shift_mean,PP_shift_std,PP_shift_count,PP_shift_median,PP_shift_p25,PP_shift_p75,PK_shift_mean,PK_shift_std,PK_shift_count,PK_shift_median,PK_shift_p25,PK_shift_p75,OT_shift_mean,OT_shift_std,OT_shift_count,OT_shift_median,OT_shift_p25,OT_shift_p75,overall_shift_mean,overall_shift_std,total_shifts,avg_shifts_per_game,avg_toi_per_game,games_played
8480018,Nick Suzuki,Nick,Suzuki,52.34052249890843,18.057451323439583,3815,50.633333333300016,39.59999999999991,62.61666666666997,64.73404761904811,24.93026328949265,588,62.18333333331995,45.358333333327536,83.55000000000007,65.34891666666901,25.57175609151839,400,62.99999999994998,46.68749999997493,83.24999999997493,0.0,0.0,0,0.0,0.0,0.0,54.941136789507304,20.388183850986106,4803,19.524390243902438,1072.6921951219658,246
8476875,Mike Matheson,Mike,Matheson,55.92172722030113,20.36326527902836,3468,53.100000000000136,40.8958333333249,67.5,63.9725225225235,23.80990566762347,592,61.86666666666497,45.29166666668999,79.72499999999502,68.17012454212656,25.420667379540024,455,65.43333333333999,47.450000000000045,88.14666666669996,0.0,0.0,0,0.0,0.0,0.0,58.21166998892709,21.825049259416264,4515,21.5,1251.5509047619328,210
8476981,Josh Anderson,Josh,Anderson,48.20647783500118,15.95415920743083,3301,46.700000000000045,36.83333333330029,57.5,52.3658909853244,20.853139591478428,477,50.59999999999991,35.90000000000009,63.70000000000027,51.08198039215745,20.423400635763347,170,47.20000000000502,36.866666666669985,64.13333333330002,0.0,0.0,0,0.0,0.0,0.0,48.832839412362055,16.893076225377484,3948,17.31578947368421,845.5791666666902,228
8481540,Cole Caufield,Cole,Caufield,51.41931858315312,17.529697879264567,3209,49.80000000000018,38.66666666669994,61.03333333334001,72.32172966781428,21.802485549185107,291,71.5333333333001,56.76666666668001,87.61666666664996,70.59483870967928,22.406234812805412,248,69.89166666665001,54.10000000000004,85.08333333327516,0.0,0.0,0,0.0,0.0,0.0,54.311028993242466,19.57333569410162,3748,17.847619047619048,969.3225555555848,210
8478133,Jake Evans,Jake,Evans,47.890136698213816,16.078281707007317,2853,46.43333333340024,36.53333333330011,57.3166666666998,49.1633675213669,19.426710123171574,585,45.43333333332998,34.76666666660003,59.59999999999991,51.47520000000257,20.444383475683633,300,49.870000000000005,34.551666666649794,63.324999999999925,0.0,0.0,0,0.0,0.0,0.0,48.37712413055228,17.057632797443887,3738,17.146788990825687,829.5123394495616,218
8475233,David Savard,David,Savard,53.318138047139996,19.54052513694093,2970,50.39999999999982,39.0,64.50416666667748,57.84483739837495,23.075676187966472,410,53.183333333334986,40.016666666667504,73.18333333334988,62.69899022801518,22.693557272659874,307,62.0,44.45000000001491,78.17000000000007,0.0,0.0,0,0.0,0.0,0.0,54.6026154958883,20.43598276159979,3687,18.715736040609137,1021.9281387479198,197
8482087,Kaiden Guhle,Kaiden,Guhle,52.60733132597471,19.189475283312323,2989,49.966666666600304,38.833333333299834,63.0666666666998,54.58158974358966,21.045593821417075,390,51.283333333364965,38.433333333325095,66.92500000004992,60.039464285715795,22.598135479722604,168,58.783333333299765,43.191666666699916,73.68333333336167,0.0,0.0,0,0.0,0.0,0.0,53.1764204492074,19.64471260713157,3547,20.988165680473372,1116.0755226824772,169
8483515,Juraj Slafkovsky,Juraj,Slafkovsky,51.777025421716836,17.882248091734667,2806,50.22499999998496,39.10499999999999,62.0666666666998,65.20865756541816,21.925489937644578,293,64.16666666663002,50.30000000000018,79.76666666666,70.10096646943116,22.97966572581301,169,69.23333333329992,52.11999999999989,85.86666666669998,0.0,0.0,0,0.0,0.0,0.0,53.928865769075536,19.336106794836475,3268,16.34,881.1976666666943,200
8475848,Brendan Gallagher,Brendan,Gallagher,46.987482993197226,15.89359482716487,2695,44.96666666659985,35.78333333335013,55.76333333335003,52.9237681159439,17.06991022244747,299,52.06666666666001,41.541666666669926,63.33333333329995,57.4425471698145,19.524342010255072,106,54.749999999995,44.17083333330004,64.74583333334499,0.0,0.0,0,0.0,0.0,0.0,47.917543010752944,16.340591135640032,3100,15.816326530612244,757.8795068027249,196
8476469,Joel Armia,Joel,Armia,48.50527801539872,16.786319220296186,2338,46.78333333335007,36.583333333349856,57.72499999997528,50.629229287092265,19.316066028399348,519,47.300000000002996,35.68333333335005,62.81666666665001,54.25408963585629,21.965062979153927,238,52.5000000000035,36.66500000004993,66.84166666667494,0.0,0.0,0,0.0,0.0,0.0,49.30351642434149,17.753548906576498,3095,16.289473684210527,803.1283333333519,190
8477989,Christian Dvorak,Christian,Dvorak,48.53970996038654,17.154556818622044,2356,45.98333333334995,36.333333333382406,58.37083333334999,50.77518886679903,19.97761977775437,503,47.96666666660008,35.375,61.98333333334995,53.40790816326853,22.557899705087856,196,48.68333333333493,35.59166666669262,66.56666666666176,0.0,0.0,0,0.0,0.0,0.0,49.22010692853396,18.08826929508555,3055,17.357954545454547,854.3603787879048,176
8482964,Arber Xhekaj,Arber,Xhekaj,51.573442553192926,18.901988405350966,2350,49.06666666670003,37.54166666666801,62.62499999999743,53.09736507936439,19.825439099577025,210,52.13333333333496,37.7500000000002,64.5783333333249,49.796553672316435,16.743349703969702,59,47.43333333329974,40.966666666649985,55.56666666670003,0.0,0.0,0,0.0,0.0,0.0,51.655606465573335,18.93858329965299,2619,15.872727272727273,819.9153535353732,165
