Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES OZ F/O Wins,ES OZ F/O Win %,ES DZ F/O Wins,ES DZ F/O Win %,ES ISF (P20 WOI),ES ISA (P20 WOI),ES ISF% (WOI),ES OZSTART %,ES XGFP20 (WOI),ES XGAP20 (WOI),XGF %,ES CORSIFOR%
"Alex Killorn","F","Anaheim",0.28741254170191494,-0.03448589645946221,23.922782934448986,1.0039506481347726,0.24297532881612297,7,0.35,1,0.16666666666666666,2.00233594150275,2.487112011550784,0.4460093896713615,0.3471376370280146,0.9251459504706874,0.9926691713366552,0.4823957950643505,0.5166197183098592
"Brock McGinn","F","Anaheim",0.18662625855786666,-0.10076168940361598,25.00195045631138,-7.202459025154287,0.24595793905289734,1,0.3333333333333333,2,0.6666666666666666,1.9748850905477653,2.747666212936021,0.41818181818181815,0.21578947368421053,0.7049821624727269,0.9721059103080286,0.42036084682410646,0.419811320754717
"Carson Meyer","F","Anaheim",0.1590872146148838,-0.0017947423704513926,24.52825965818368,-8.607873527238258,0.19628347938695995,0,0,0,0,1.5729247224443241,2.5166795559109185,0.38461538461538464,0.26744186046511625,0.5660791504120781,1.1317711685018743,0.33340933774078313,0.43209876543209874
"Chris Kreider","F","Anaheim",0.2881958262908271,0.0006926647076634034,24.714165703926575,0.2184668688093499,0.22296579712845382,24,0.36363636363636365,1,0.25,1.8958307221775943,2.383330050737547,0.4430379746835443,0.3765217391304348,0.8737432628433862,0.892242083882714,0.49476246474139113,0.532942238267148
"Cutter Gauthier","F","Anaheim",0.2955608199069131,-0.2955608199069131,28.007538264355794,-2.4233477777923484,0.3043516176978851,0,0,0,0,1.2977649603460713,1.2977649603460713,0.5,0.5,0.6743006316825688,0.9341721612424961,0.4192179281169744,0.5555555555555556
"Frank Vatrano","F","Anaheim",0.2954409557961674,0.02395451139068,24.705586070249865,-0.7278826757442328,0.22549265932290474,3,0.2727272727272727,2,0.6666666666666666,1.96960538098556,2.271256655550916,0.46443514644351463,0.3550185873605948,0.9081958016051034,1.0159827524624587,0.47199143742936334,0.4470272686633885
"Glenn Gawdin","F","Anaheim",0,0,20.73075501795502,-7.676179918960791,0,0,0,1,0.3333333333333333,0,0,0,0.2,0,0.7033258513293664,0,0.2727272727272727
"Jakob Silfverberg","F","Anaheim",0.189974807798965,-0.06505425380129208,23.58223419993703,-4.0593562961904865,0.24263761808015433,10,0.5263157894736842,2,0.15384615384615385,1.9987288639627663,1.8488241991655587,0.5194805194805194,0.29379310344827586,0.7591896998255767,0.7332034692701097,0.5087062280549078,0.5116448326055313
"Jansen Harkins","F","Anaheim",0.13369459680350584,-0.13369459680350584,23.410307309324747,-2.9114703205751535,0.24104184883660634,0,0,0,0,1.4483283335574426,2.061082628524053,0.4126984126984127,0.10855263157894737,0.6145952383336165,0.7831111406542346,0.4397169874681945,0.4808823529411765
"Leo Carlsson","F","Anaheim",0.22402998161714507,-0.0367768850653523,23.69701533090735,3.067858822415803,0.2885654072375762,65,0.4276315789473684,54,0.35294117647058826,2.2002238844835644,2.2236305215525385,0.4973544973544973,0.3469945355191257,0.9793936327002428,0.9398359740807865,0.5103056086879054,0.5142857142857142
