Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES ISF (P20 WOI),ES ISAg (P20 WOI),ES ISF% (WOI),ES P2SAg (P20 WOI),ES XGFP20 (WOI),ES XGAP20 (WOI),ES OPREB (P20 WOI),ES OddMRAg (P20),ES OZSTART %,XGF %,ES CORSIFOR%
"Alexander Nikishin","D","Carolina",0.048457020900238935,-0.048457020900238935,24.091137282556204,0.8543025058189535,0.15843915807925793,0.9988162178159213,3.329387392719738,0.23076923076923078,4.994081089079607,0.6751422712785531,0.9642844908347348,1.664693696359869,0.9988162178159213,0.3958333333333333,0.41181606088232153,0.56
"Jaccob Slavin","D","Carolina",0.09486699321637493,-0.02420712821597251,23.028579466974886,2.907452750167183,0.1264056224219145,2.1904558150124753,2.0491360850116704,0.5166666666666667,4.804870820027365,0.8920351137041932,0.7557038293106549,1.978476220011268,0.6359387850036218,0.35081967213114756,0.5413692001914134,0.5482233502538071
"Jalen Chatfield","D","Carolina",0.04646373809785076,0.08820480894075047,21.69690376461159,2.8305181988655503,0.0682152955771929,1.750691111501816,2.1546967526176197,0.4482758620689655,3.2320451289264294,0.5967015205302446,0.5639937683468744,1.885359658540417,0.26933709407720247,0.2916666666666667,0.514089723847769,0.5464285714285714
"Sean Walker","D","Carolina",0.12875537062531336,-0.02235698551635842,20.111325323374544,9.52667995974194,0.12285884929867075,3.1919515532686487,2.340764472397009,0.5769230769230769,3.6175450937044684,1.2605013006406414,0.8137139633541931,2.0215693170701443,0.4255935404358198,0.398876404494382,0.6077003301060369,0.6354916067146283
"Shayne Gostisbehere","D","Carolina",0.11758416256940787,0.07618351536718171,20.17615207600319,9.147847170254694,0.13894279489679698,1.937676779365896,1.840792940397601,0.5128205128205128,2.906515169048844,0.8834478420410021,0.6260062053887625,1.6470252624610116,0.484419194841474,0.4696132596685083,0.5852764074171719,0.6421800947867299
"Brent Burns","D","Colorado",0.0436684537524517,0.033258403764050176,22.939602899250108,1.9752082216919726,0.05731848611699014,1.6154640078465394,2.077025152945551,0.4375,4.692538308506615,0.7550468202621641,0.8205400192118061,2.1539520104620524,0.3077074300660075,0.3649122807017544,0.47921625222145553,0.5358490566037736
"Cale Makar","D","Colorado",0.2747061005742993,-0.2747061005742993,19.313990453255016,12.670222426868929,0.17957674659046857,3.735276784009695,1.6435217849642658,0.6944444444444444,2.539988213126593,1.3584941606925816,0.7551840651395479,2.6893992844869805,0.1494110713603878,0.48484848484848486,0.6427156906334496,0.631578947368421
"Devon Toews","D","Colorado",0.13677821577297145,0.011929268344243195,19.192126232833555,10.897955741262997,0.07099085804730855,3.5689796188131515,1.0409523888205026,0.7741935483870968,2.5280272299926487,1.1709923105550268,0.6461155616164863,1.4870748411721464,1.0409523888205026,0.477124183006536,0.6444264143524107,0.65
"Erik Johnson","D","Colorado",0.032118018357611355,-0.032118018357611355,18.03651066150157,5.607735640430426,0.16878778696061478,0.8502196400736858,2.5506589202210574,0.25,3.400878560294743,0.4631199928620044,0.6991923969216298,3.400878560294743,0,0.3157894736842105,0.3984470929955541,0.4772727272727273
"Josh Manson","D","Colorado",0.047260797470524085,-0.047260797470524085,18.393655013484704,7.3115949606069215,0.15450433228950836,2.7992554758005297,1.0497208034251986,0.7272727272727273,3.3241158775131288,1.0653083777145587,0.6068058000967315,1.3996277379002648,0.5248604017125993,0.26495726495726496,0.6371026523493698,0.573394495412844
